norm_name,github_login,decision,source,note,decided_at
modeste assiongbon,rblmdst,confirm,auto,unique name; bio says Speaker+French content creator,2026-06-27
pierre andrieux,winderslide008,reject,auto,3 same-name cands; no Capgemini signal; common name,2026-06-27
lionel armanet,lionelarmanet,confirm,auto,login encodes name; distinctive name; single real cand,2026-06-27
jerome baton,JeromeBaton,confirm,auto,login encodes name exactly; single candidate,2026-06-27
frederic bisson,Zigazou,confirm,auto,61 followers; exact name match; single candidate,2026-06-27
caroline boyer,CarolineBoyer,reject,auto,company @usnistgov contradicts Sopra Steria France,2026-06-27
geoffrey beausire,geobeau,confirm,auto,login encodes name; Criteo context fits; distinctive name,2026-06-27
luis blanche,LuisBlanche,reject,auto,cand luisblanche-mirakl encodes Mirakl aff better,2026-06-27
julien botella,julienbotella,confirm,auto,login encodes name; single candidate,2026-06-27
philippe bourgau,philou,confirm,auto,118 followers; refactoring coach bio matches speaker,2026-06-27
fanny bouton,Fanny1000110,confirm,auto,OVHcloud company+bio; consistent with tech speaker,2026-06-27
audren burlot,AudrenHellowork,confirm,auto,login encodes name+company; distinctive name,2026-06-27
maxime clement,maxime-clem,reject,auto,5 same-name cands; no Docker signal; common name,2026-06-27
manuel camargo,SirLouen,reject,auto,WordPress/Vozitel profile; conflicts with Theodo Fintech,2026-06-27
mathieu cans,cansmathieu,confirm,auto,login encodes name; single candidate,2026-06-27
jeremy chauvin,jeremychauvin,confirm,auto,login encodes name; single candidate,2026-06-27
houssem chihoub,hecdbx,reject,auto,login opaque; hchihoub is clearer name encoding,2026-06-27
luc chmielowski,lucchmielowski,confirm,auto,login encodes name; very distinctive surname,2026-06-27
nahel chokairi,Anorien63,confirm,auto,distinctive name; suffix 63=Puy-de-Dome fits Michelin HQ,2026-06-27
benoit colin,Benoit382,reject,auto,3 same-name cands; no Bedrock signal; common name,2026-06-27
sylvain dedieu,sdedieu,confirm,auto,bio explicitly says Conference speaker; login encodes name,2026-06-27
rachel dubois,RDUBOIS75,confirm,auto,login encodes R DUBOIS 75 (Paris); Spotify is tech,2026-06-27
laurent duclay,caa-lduclay,confirm,auto,login prefix caa=Credit Agricole Assurances matches aff exactly,2026-06-27
pablo farey,Pabloulou,confirm,auto,distinctive name; single candidate,2026-06-27
sebastien ferrer,sebferrer,confirm,auto,org ovh matches OVHcloud aff; bio says Speaker,2026-06-27
christophe furmaniak,looztra,confirm,auto,company @dktunited=Decathlon matches aff; strong corroboration,2026-06-27
jerome gauthier,AngelQC,reject,auto,login opaque; no Sopra Steria signal; common name,2026-06-27
denis germain,zwindler,confirm,auto,163 followers; DevOps/tech blogger; distinctive handle,2026-06-27
nicolas giraud,niconoe-,reject,auto,very common name; Aareon vs onepoint; 5 cands no signal,2026-06-27
yann gloriau,yannGloriau,confirm,auto,login encodes name; single candidate,2026-06-27
peter goron,pgoron,confirm,auto,login encodes name; Criteo fits; single useful cand,2026-06-27
maxime gosselin,maximegosselin,reject,auto,Quebec First Nations dev bio; conflicts with Oodrive FR,2026-06-27
jordane grenat,jgrenat,confirm,auto,login encodes name; distinctive name,2026-06-27
thomas jouve,Thomasimov,reject,auto,nephrologist at Grenoble Univ Hospital vs Sopra Steria IT,2026-06-27
dimitrios kafetzis,Dimitrios-Kafetzis,confirm,auto,very distinctive Greek name; login encodes it,2026-06-27
henry lagarde,tolares,reject,auto,login opaque; @MistralAi vs Datadog aff mismatch,2026-06-27
yannick lambruschi,ylambruschi,confirm,auto,login encodes name; distinctive surname,2026-06-27
sebastien lecacheur,slecache,confirm,auto,login encodes name; distinctive surname,2026-06-27
samuel lefebvre,SamLefebvre,reject,auto,web dev bio (React/VueJS/Unity) conflicts with Shodo Java; common name,2026-06-27
pablo lopez,PabloLopez23,reject,auto,very common Spanish name; cybersec vs WeScale DevOps,2026-06-27
mathilde lorrain,malorrain,confirm,auto,login encodes name; single candidate,2026-06-27
fabien martin,Kwalish,reject,auto,login opaque; Founders Lair vs Everial; common name,2026-06-27
arnaud mary,ArnaudMary,confirm,auto,login encodes name directly; single candidate,2026-06-27
antoine mayer,mayerantoine,confirm,auto,login encodes name last-first; single candidate,2026-06-27
simon mercier,smercier,reject,auto,Mapgears Canada vs Worldline FR; common name; 5 cands,2026-06-27
anthony maffert,anthony-maffert-wmx,confirm,auto,wmx=Winamax in login matches affiliation exactly,2026-06-27
barbara martin,Babishula,reject,auto,login opaque; no Michelin signal; common name,2026-06-27
emeric martineau,emeric-martineau,confirm,auto,login encodes name; distinctive name,2026-06-27
jerome masson,Sphinxgaia,confirm,auto,Kubernetes/DevOps bio strongly fits WeScale speaker,2026-06-27
guillaume mathieu,gmathieu,reject,auto,Gusto US vs Wescale FR; common name; 5 cands,2026-06-27
guillaume mazollier,gmiam,confirm,auto,distinctive surname; single candidate,2026-06-27
florian meuleman,FlorianMeuleman,confirm,auto,login encodes name; EFREI student profile may be old pre-Takima,2026-06-27
kim adeline miguel,kimadeline,confirm,auto,very distinctive name; login encodes first names; GitHub employee,2026-06-27
francois mockers,mockersf,confirm,auto,346 followers; distinctive name; login encodes name,2026-06-27
jeremy nadal,Jeremynadalmirakl,confirm,auto,login encodes full name; mirakl=likely prev employer,2026-06-27
bertrand nau,bnau,confirm,auto,login encodes name; single candidate,2026-06-27
olivier poncet,ponceto,confirm,auto,120 followers; OSS/tech speaker bio; login encodes name,2026-06-27
johan rouve,ooga,reject,auto,login opaque; TrustCollect vs Comet aff mismatch,2026-06-27
manuel ryan,ryanthemanuel,reject,auto,GitHub name is Ryan Manuel (reversed); @cypress-io vs Swissquote,2026-06-27
yann schepens,yannschepens,confirm,auto,login encodes name directly; single candidate,2026-06-27
sarah tedjani,sarahted,confirm,auto,login encodes name; distinctive name,2026-06-27
stephane trognon,stephane-trognon,confirm,auto,login encodes name; SRE/DevOps teacher bio fits speaker,2026-06-27
matthieu vetter,Grudov,reject,auto,login opaque; no WhereWeGo signal,2026-06-27
nicolas wlodarczyk,nicolaswlo,confirm,auto,login encodes name; very distinctive surname,2026-06-27
yifang dong,YifangDONG,confirm,auto,login encodes name; distinctive name; Murex is JVM shop,2026-06-27
jerome leonard,jeromeleonard,reject,auto,StrangeBee vs CGI aff mismatch; login encodes name but co wrong,2026-06-27
stephane teyssier,yesteph,reject,auto,login opaque; no Wescale signal,2026-06-27
george argyropoulos,george-argy,reject,auto,two empty candidates same name no corroboration to distinguish,2026-06-27
evi chatzidaki,chatzidaki,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
ron dagdag,rondagdag,confirm,auto,distinctive name 111 followers tech bio primary account,2026-06-27
giota eftaxia,ggefta,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
michelle frost,michellevenables1,reject,auto,common English name 4 candidates no corroboration,2026-06-27
spyros karavanis,spyroskaravanis,confirm,auto,distinctive Greek name username is full name,2026-06-27
vasileia kourli,vkourli,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
konstantinos koutitsas,FullMetalAlchemistEMP,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
alex konig,axkng,confirm,auto,axkng abbreviates Alex Konig AWS speaker top candidate,2026-06-27
sotiris lyras,cyberrobots,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
antonis markopoulos,amarkopoulos,confirm,auto,distinctive Greek name sole candidate exact match,2026-06-27
alyssa nicoll,alyssamichelle,confirm,auto,full name in profile Developer Advocate GDE 258 followers conference speaker,2026-06-27
tasos nikolaou,tase-nikol,confirm,auto,software engineer bio backend microservices fits conference speaker,2026-06-27
patroklos papapetrou,ppapapetrou76,confirm,auto,107 followers CodeHubGreece org member distinctive name,2026-06-27
vadym pinchuk,VadymPinchuk,confirm,auto,Android dev on JVM 94 followers distinctive name,2026-06-27
will sentance,WillSen,confirm,auto,768 followers bio confirms CEO Codesmith distinctive name,2026-06-27
kostas stroggylos,modernist,confirm,auto,distinctive Greek name sole candidate 25 followers,2026-06-27
menelaos zetas,menelaoszetas1990,confirm,auto,distinctive Greek name sole candidate programmer bio,2026-06-27
turhal temizer,turhaltemizer,confirm,auto,unique Turkish name; sole exact match; low follower count but name specificity sufficient,2026-06-27
alexis monville,alexismonville,confirm,auto,open-organization org is a Red Hat community project corroborating RedHat affiliation,2026-06-27
kenan sevindik,harezmi,confirm,auto,login harezmi matches affiliation Harezmi IT Solutions exactly; company shows kenansevindik.com,2026-06-27
yehonathan sharvit,viebel,confirm,auto,bio explicitly mentions Clojure/ClojureScript (JVM language); 331 followers; distinctive name,2026-06-27
gregory green,gregreen,reject,auto,astrophysicist at Max Planck Institute not a JVM developer,2026-06-27
ruben afonso,rubentnf,reject,auto,no JVM repos no AWS affiliation 9 followers no corroborating signal,2026-06-27
sergei chernov,sacher90,reject,auto,0 followers no bio no company no JVM repos insufficient evidence,2026-06-27
soham dasgupta,thesobercoder,reject,auto,multiple same-name candidates; no JVM repos; company empty (no Microsoft signal),2026-06-27
mark dirksma,funkycoding,confirm,auto,distinctive Dutch name; single candidate; Dutch conference speaker,2026-06-27
eli holderness,eli-holderness,reject,auto,bio says Anvil not The Bennett Institute; no JVM repos; contradicting affiliation,2026-06-27
remco siemonsma,Remco-testing,confirm,auto,distinctive Dutch name; single candidate; Remcoder likely personal brand vs Qirion day job,2026-06-27
peter smink,psmink,reject,auto,common Dutch surname; company SolutionWorx vs Team Rockstars IT; 0 followers; no JVM repos,2026-06-27
victor botan,Taurettt,reject,auto,bio is sustainability/networking; no JVM repos; no AD/01 signal; victor-botan-ad01 may be better,2026-06-27
andrei mihai,crunck78,reject,auto,last name Neacsu does not match; company is developerakademie not Adobe; no JVM repos,2026-06-27
alin miu,alin-miu-scoalainformala,reject,auto,empty bio; no JVM repos; no Amazon signal; scoalainformala suffix suggests unrelated coding-bootcamp account,2026-06-27
malavika balamurali,Mbala658,reject,auto,name-only match; no bio/company/jvm_repo/followers — insufficient corroboration,2026-06-27
john ceccarelli,johnceccarelli,confirm,auto,company Oracle is JVM-ecosystem company; exact name match; unique enough for Azul speaker,2026-06-27
medha chakraborty,medha209,confirm,auto,bio explicitly mentions Java; exact name match for BlackRock speaker,2026-06-27
chris corriere,ecology-chris,confirm,auto,login ecology-chris directly matches speaker affiliation Ecology Computing,2026-06-27
john coyne,iolla-net,reject,auto,common name; bio is designer/runner with no JVM signal; multiple candidates; no corroboration,2026-06-27
christopher curtin,ccurtin,reject,auto,no JVM repos; org twowordsdigital does not match ADP; no affiliation corroboration,2026-06-27
srijani dey,SrijaniTinni,reject,auto,company TCS does not match BlackRock; multiple zero-follower candidates; no JVM signal,2026-06-27
jonathon graf,JonoGraf,reject,auto,name-only match; no bio/company/jvm_repo/followers,2026-06-27
emmanuel guzman,eguzmanv,reject,auto,bio is geophysics student — wrong person; likely match is Emmax77 (Java/Oracle ACE/JUG speaker),2026-06-27
leonid igolnik,ligolnik,reject,auto,name-only match; no bio/company/jvm_repo; two identical-name candidates,2026-06-27
laurie lay,LaurieLonecrow,reject,auto,no JVM repos; no company listed despite Ippon Technologies affiliation; no corroboration,2026-06-27
martin rojas,martinrojas,reject,auto,common Spanish name; no bio/company/jvm_repo; four candidates with equal weight,2026-06-27
zoe steinkamp,zoesteinkamp,reject,auto,no bio/company/jvm_repo; ClickHouse speaker context not JVM-specific,2026-06-27
phil webb,prwebbuk,reject,auto,company Valorem Reply does not match Broadcom; Spring Boot Phil Webb is philwebb (2305 flw) not prwebbuk,2026-06-27
daneez zamangil,daneez-evity,reject,auto,name-only match; no bio/company/jvm_repo/followers; Callrail not JVM-specific,2026-06-27
robert eichenseer,RobertEichenseer,confirm,auto,"unique German name, 62 followers, both candidates Microsoft-affiliated; crafts conference broader than JVM",2026-06-27
sven eiter,sjeiter,confirm,auto,"sole candidate, adesso SE (Java-heavy shop), name uncommon enough",2026-06-27
stefan mintert,stefanmintert,confirm,auto,"sole candidate, unique German name, own consulting company; known DE tech community",2026-06-27
thomas lemberger,lembergerth,confirm,auto,sosy-lab (software research/Java tools); runner-up tlemberger is EMBO biology - wrong field,2026-06-27
janek fellien,jfellien,confirm,auto,"sole candidate, 46 followers, msmvps org confirms active tech speaker profile",2026-06-27
johannes dienst,JohannesDienst,confirm,auto,"adesso SE (Java-heavy), Mastodon bio confirms active tech community member; highest followers among three accounts",2026-06-27
sinan yildirim,sinanyil81,reject,auto,"gh name is Kasim Sinan YILDIRIM (different first name), academic institution, no JVM repos",2026-06-27
giulia maier,gimaier,confirm,auto,"unique exact name match, uncommon name, plausible login pattern (gi+maier)",2026-06-27
stefan nachtrab,st3v0rr,confirm,auto,"unique match, Software-Architect bio, @adorsys company, adorsys org",2026-06-27
clemens hubner,clemens-huebner,confirm,auto,"unique exact name match, uncommon name, single candidate",2026-06-27
carmen delgado,cldelgadop,confirm,auto,"Eclipse Foundation / @adoptium community manager, JVM-adjacent role",2026-06-27
rainald menge sonnentag,Kirodar,confirm,auto,"unique name, Senior Editor at ix-magazin/heise covering Java, ix-magazin org",2026-06-27
bernhard lowenstein,lion78at,confirm,auto,"uncommon name, single exact match candidate",2026-06-27
ingo eichhorst,ingo-eichhorst,confirm,auto,"unique name, 21 followers, Nowtilus org, dominant match",2026-06-27
daniel kocot,danielkocot,confirm,auto,"Principal Integration Architect @adorsys, docToolchain org (JVM-adjacent)",2026-06-27
benjamin wolf,programming-wolf,confirm,auto,"@innoq company + arc42 org, strong German Java community signals",2026-06-27
frederik wystup,DG1001,confirm,auto,"unique match, uncommon name, single candidate, prefer recall",2026-06-27
andreas voigt,voigtan,reject,auto,"common German name, 5 candidates, no JVM signal for top candidate",2026-06-27
sebastian sprenger,sprengr,reject,auto,"EpicGames org suggests game dev not JVM, multiple candidates with similar profiles",2026-06-27
felix medam,SputnikTea,confirm,auto,"unique match, uncommon name, single candidate, prefer recall",2026-06-27
christian heilmann,codepo8,confirm,auto,"dominant match 2796 followers, known conference speaker, exact name match",2026-06-27
benedikt werner,benediktwerner,confirm,auto,"lichess-org (Scala/JVM project), 123 followers, unique name",2026-06-27
florian sommer,fsteckel,reject,auto,"bio is Aerospace Engineer and Maker, clearly not JVM speaker, multiple ambiguous candidates",2026-06-27
thomas krieger,tom-krieger,confirm,auto,"THK IT Beratung company matches initials, IT consulting consistent with JVM speaker",2026-06-27
luis blanche,luisblanche-mirakl,confirm,auto,login encodes name+Mirakl aff; better match than LuisBlanche,2026-06-28
