name,norm_name,affiliation
Nitsan Wakart,nitsan wakart,Apple
Christian Woerz,christian woerz,
Eoin Woods,eoin woods,Artechra
Thomas Wuerthinger,thomas wuerthinger,Oracle
Ananya Kittane Yogananda,ananya kittane yogananda,
Jonathan du Mesnil de Rochemont,jonathan du mesnil de rochemont,TNG Technology Consulting
Tim te Beek,tim te beek,Moderne
Adam Dudczak,adam dudczak,Computational systems and people engineering practitioner
Ahmed Hassanien,ahmed hassanien,"Engineering Manager with experience in software architecture, leadership, and AI/ML"
Arjen Poutsma,arjen poutsma,Software engineer who spent nearly 20 years shaping the Spring Framework and now advises Embabel
Artur Kęska,artur keska,Java dev on daily basis
Artur Skowronski,artur skowronski,Head of Application Development at VirtusLab
Aviva Peisach,aviva peisach,Head of Wix Backend & Wix-Identity
Christian Tzolov,christian tzolov,Broadcom
Dariusz Jędrzejczyk,dariusz jedrzejczyk,Broadcom
Dominik Cebula,dominik cebula,"Cloud Software Principal Engineer at HSBC, Udemy instructor, book author"
Dylan Beattie,dylan beattie,"Consultant, software developer and international keynote speaker"
Ivar Grimstad,ivar grimstad,Eclipse Foundation
Jakub Nabrdalik,jakub nabrdalik,"Software, Platform and Solution architect with 23 years of commercial exp"
Josef Goldstein,josef goldstein,The Data & Culture Guy
Konrad Szałkowski,konrad sza kowski,Java enthusiast
Krzysztof Debski,krzysztof debski,Whatever-It-Takes Engineer
Marcin Grzejszczak,marcin grzejszczak,HeroDevs
Marcin Kliks,marcin kliks,"Principal Software Engineer, Manager & Biotech Software Founder"
Marcin Łapaj,marcin apaj,architect at iteratec
Martin Ladecký,martin ladecky,Commerzbank
Mateusz Dykszak,mateusz dykszak,"Software engineer with 20 years of experience building pragmatic, maintainable distributed systems"
Mateusz Nalepa,mateusz nalepa,Programmer with 9 years of experience. After hours: acts in a theater and plays the piano
Niek Palm,niek palm,Principal Engineer | Open Source | Atlete
Spencer Gibb,spencer gibb,Spring Cloud Cofounder
Szymon Sadowski,szymon sadowski,8 years of engineering with a passion for sharing knowledge and solving complex technical puzzles
Thomas Pierrain,thomas pierrain,Shodo Group
Thomas Sundberg,thomas sundberg,Lead developer at LogEze
Tom Akehurst,tom akehurst,"Creator of WireMock, co-founder of WireMock, Inc."
Tomas Rehak,tomas rehak,CTO@AGRP.DEV
Tomer Gabel,tomer gabel,Tech Debt Collector
Yasmin Dunsky,yasmin dunsky,Founder and CEO of Wild Moose
Azmir Abdi,azmir abdi,Experte für Data-centric Architecture und KI-Integration.
Marwan Abu-Khalil,marwan abu khalil,Experte für Parallele Programmierung und Software-Architektur
Pawel Adaszewski,pawel adaszewski,ZEISS Digital Innovation
Sven Amann,sven amann,Berater für Softwarequalität | Forschung & Konferenzen | Speaker seit 2010er
Mike Amundsen,mike amundsen,"Author Speaker Trainer | Amundsen | API Architecture, Digital Transformation"
Stefan Armbruster,stefan armbruster,Relational.AI
Tom Asel,tom asel,Experte für agile Architektur und Entwicklungsprozesse
Petr Aubrecht,petr aubrecht,Payara Services
Christian Bachler,christian bachler,Spezialist für moderne & plattformübergreifende Frontend-Architektur
Patrik Baumann,patrik baumann,Software & Support Media GmbH
Markus Baumann,markus baumann,MHP Management- und IT-Beratung GmbH
Patrick Baumgartner,patrick baumgartner,42talents
Thomas Bayer,thomas bayer,"API Consultant with 20+ Years of Experience, Managing Director at predic8, and Developer of Membrane API Gateway."
Viktor Bekaj,viktor bekaj,Experte für SRE und DevOps-Transformationen
Candide Bekono,candide bekono,"Agile Transformation Experte, der echte Mitarbeiterbedürfnisse in den Mittelpunkt stellt."
Konstantin Belinski,konstantin belinski,Experte für verteilte Systeme & JVM-Architekturen
Christian Berg,christian berg,SCHUFA Holding AG
Dennis Berger,dennis berger,Software-Architekt
Georg Berky,georg berky,Selbstständig
Sven Bernhardt,sven bernhardt,OPITZ CONSULTING Deutschland GmbH
Moritz Besser,moritz besser,Building climate-friendly AI that delivers real-world impact
Patric Betz,patric betz,Experte für KI-getriebene IT-Projektautomatisierung
Winfried Bittner,winfried bittner,
Stefan Blum,stefan blum,MHP Management- und IT-Beratung GmbH
Christian Bobach,christian bobach,HUK-Coburg
Adam Boczek,adam boczek,NTT Data
Torsten Bøgh Köster,torsten b gh koster,Freelance Search & Operations Engineer
Kirill Boiarkin,kirill boiarkin,Experte für Softwareentwicklung | Team- & Projekterfolg
Nils Bokermann,nils bokermann,Freiberufler
Johannes H. Bondzio,johannes h bondzio,Materna Information & Communications SE
Mathias Böni,mathias boni,MURAKAMY GmbH
Elmar Borgmeier,elmar borgmeier,
Hauke Brammer,hauke brammer,Expert in microservices and MLOps with Kotlin
Susanne Braun,susanne braun,SAP
Juan Antonio Breña Moral,juan antonio brena moral,Expert in DevOps architecture & cross-functional teams
Ronald Brill,ronald brill,"Experte für Web-Testing, Testautomatisierung & Open Source"
Daniel Buza,daniel buza,JAVA developer and tech lead
Samantha Casler,samantha casler,Software Engineer specializing in backend solutions
Daniel Chwat-Gogol,daniel chwat gogol,Experte für KI-Transformation & AI Engineering
Katie Clark,katie clark,"Software Entwicklerin und Scrum
Trainerin"
Jamie Coleman,jamie coleman,"Knowledge in Microservices, cloud architecture, containers, devsecops, java app servers and JVMs"
Adrian Colyer,adrian colyer,Accel
Hubert Corr,hubert corr,Softwarearchitekt | Risikomodelle & Low-Code-Plattformen
Marcus Crestani,marcus crestani,Softwarearchitekt mit Fokus auf Eventsysteme & Lehre
Sebastian Daschner,sebastian daschner,
Eric Dauenhauer,eric dauenhauer,
John Davies,john davies,"FinTech Architecture und Java Experte, Co-Founder & Autor"
Sean Davis,sean davis,"Expert in API Management, API Design & Developer Experience"
Tim de Buhr,tim de buhr,Spezialist für Domain Driven Design und Microservices
Dagmar de Haan,dagmar de haan,"Expertin für langlebige Java-Backends, nachhaltige Softwarearchitektur und ganzheitliche Softwarequalität"
Christian Dedek,christian dedek,Experte für Qualitätsmanagement & Migration kritischer Systeme
Sven Deichsel,sven deichsel,Materna Information & Communications SE
Christian Del Monte,christian del monte,Adesso
Chris DeMars,chris demars,TuxCare
Erik Demming,erik demming,Schenker AG
Marius Dieckmann,marius dieckmann,Experte für cloudbasierte Datenplattformen und Bioinformatik
Konstantin Diener,konstantin diener,Experte für agile Methoden und Java-Plattform-Technologien
Werner Dietl,werner dietl,University of Waterloo
Zeljko Dodlek,zeljko dodlek,Aiven
Michael Dowden,michael dowden,"Technology leader, author, and international speaker"
Martine Dowden,martine dowden,"Web Technologies, Firebase, and Angular GDE Microsoft MVP in Developer Technologies"
Patrick Drechsler,patrick drechsler,Mathema
Oliver Drotbohm,oliver drotbohm,Broadcom
Paul Dubs,paul dubs,Innovator im grafischen Programmieren für KI mit Xircuits
Damian Dudziec,damian dudziec,Zeiss Digital Innovation
Ivan Dugalic,ivan dugalic,AxonIQ
Ingo Düppe,ingo duppe,CROWDCODE | CEO
Hendrik Ebbers,hendrik ebbers,Karakun AG
Alexander Ebbes,alexander ebbes,Xyna GmbH
Werner Eberling,werner eberling,Principal Consultant und Trainer bei MATHEMA GmbH
Max Edenharter,max edenharter,Max Edenharter – Experte für API-Design und -Implementierung
Jannis Eickenroth,jannis eickenroth,Finanz Informatik
Peter Eijgermans,peter eijgermans,Sopra Steria
Henning Ellerweg,henning ellerweg,REWE digital GmbH
Axel Emmer,axel emmer,R+V
Christoph Engelbert,christoph engelbert,"Timescale, Inc."
Nils Engelke,nils engelke,Experte für digitale Transformation und IT-Strategie
Nico Enking,nico enking,Finanz Informatik
Dan Erez,dan erez,Aman Group
Leon Erkarslan,leon erkarslan,Scrum Master und Experte für hybride Technologielösungen
Lukas Essig,lukas essig,IaC- & Terraform-Experte | Spezialist für digitale Infrastruktur
Pascal Euhus,pascal euhus,Lead Architekt bei Reservix GmbH
Claire Fautsch,claire fautsch,Joblift GmbH
Johannes Feige,johannes feige,Aclue.de
Sascha Feldmann,sascha feldmann,adesso SE
François Fernandès,francois fernandes,Digital Frontiers
Robin Ferrari,robin ferrari,Expert IT Architecture
Milena Fluck,milena fluck,Software Engineer bei adesso mit Schwerpunkt JavaScript und TypeScript
Marcel Fluri,marcel fluri,Freelancer
Bernd Fondermann,bernd fondermann,"Entwickler innovativer Produkt Architekturen aus Daten, AI & Software"
Hergy Fongue,hergy fongue,Software Engineer bei der Finanz Informatik
Christina Framke,christina framke,"Technical Writer, der Entwickler*innen mit klarer Dokumentation unterstützt."
Maximilian Franzke,maximilian franzke,DB Systel GmbH
Maurice Freund,maurice freund,Materna Information & Communications SE
Uwe Friedrichsen,uwe friedrichsen,Tries to make IT a (bit) better place
Thilo Frotscher,thilo frotscher,"Freiberuflicher Softwarearchitekt und Trainer für Enterprise Java, Services und Integration"
Juan Fumero,juan fumero,University of Manchester
Kai Gellien,kai gellien,GFT Tehnologies SE
Igor Gembula,igor gembula,"Executive, Entrepreneur and Practitioner in AI-Driven Software
Modernisation"
Christian Georg,christian georg,Security Consultant bei Cologne Intelligence
Winfried Gerlach,winfried gerlach,Java-Experte seit 1999 spezialisiert auf Healthcare Software und tiefgehende technische Analysen
Steve Gerstner,steve gerstner,BridgingIT
Adam Giemza,adam giemza,
Robert Glaser,robert glaser,Head of Applied AI
Alena Glogowski,alena glogowski,Expertin für UX-Design & plattformübergreifende Integration
Nishu Goel,nishu goel,Senior Product Engineer
Brian Goetz,brian goetz,Java Language Architect
Kevin Goldsmith,kevin goldsmith,"Nimble Autonomy, LLC"
Nikita Golovko,nikita golovko,"Solution Architect for AI, IoT & Edge Systems | Expert in Scalable Industrial Architectures & Technical Debt Strategy"
Emmanuel Gonzalez Carmona,emmanuel gonzalez carmona,"Application Security & DevSecOps Expert Enabling Secure, AI-powered Software Delivery"
Jason Gorman,jason gorman,Codemanship
Lukas Gotkowski,lukas gotkowski,MHP Management- und IT-Beratung GmbH
Alexander Gottschlich,alexander gottschlich,"Experte für Cloud-Architekturen, Kubernetes & AWS-Automatisierung"
Michael Graf,michael graf,Berater für agile Entwicklung | Kotlin & TypeScript | CI/CD & Security
Andreas Grätz,andreas gratz,Axway
Marcus Greuel,marcus greuel,Lead Software Architect and Platform Engineer
Richard Gross,richard gross,"Experte für Softwaresanierung spezialisiert auf hexagonale Architektur, Domänenmodellierung und testgetriebenes Design"
Sascha Groß,sascha gro,Mathema
Christian Grümme,christian grumme,Senior Full-Stack Java Freelancer
Steffen Grunwald,steffen grunwald,Experte für Cloud-Lösungen im Enterprise-Umfeld.
Martin Günther,martin gunther,Softwarearchitekt und agiler Coach mit Workshop-Moderationserfahrung
Serafima Gurevich,serafima gurevich,Fullstack Developer mit Java- und Frontend-Expertise
Halil-Cem Gürsoy,halil cem gursoy,Capgemini
Arno Haase,arno haase,Experte für Architektur und ML
Matthias Hägele,matthias hagele,MEONDI GmbH
Rainer Hahnekamp,rainer hahnekamp,Angular Expert and Trainer in the AngularArchitects.io Network
Fabian Hardt,fabian hardt,OPITZ CONSULTING Deutschland GmbH
Shankara Hariharan,shankara hariharan,"Expert in Cloud Architecture, Security & FinOps"
Simon Harrer,simon harrer,Experte für Data Mesh & datengetriebene Architekturen
Markus Harrer,markus harrer,"Als Senior Consultant hilft Markus, Software nachhaltig und wirtschaftlich sinnvoll zu entwickeln und zu verbessern."
Nils Hartmann,nils hartmann,Java und JavaScript/TypeScript Entwickler und Trainer
Andreas Hartmann,andreas hartmann,
Markus Hebach,markus hebach,
Stefan Heinzer,stefan heinzer,"Experte für Softwarearchitektur, DDD & UX"
Marcus Held,marcus held,Freiberuflicher Software-Architekt für Backend-Systeme und KI-gestützte Entwicklung
Clemens Helm,clemens helm,Helmcraft GmbH
Christoph Henkelmann,christoph henkelmann,Experte für Strategie und Umsetzung von Deep Learning Systemen.
Mario Herb,mario herb,Experte für Domänen getriebene Lösungsentwicklung
Julian Herzog,julian herzog,"Architektur, die skaliert, integriert, automatisiert und nachhaltige digitale Effizienz schafft."
Waldemar Hettmann,waldemar hettmann,R+V
Stefan Hildebrandt,stefan hildebrandt,
Thomas Hinterwimmer,thomas hinterwimmer,AUDI  AG
Sebastian Hirschmeier,sebastian hirschmeier,"Experte für Softwarearchitektur, Continuous Delivery & Security"
Carsten Hoffmann,carsten hoffmann,DB Systel GmbH
Michael Hofmann,michael hofmann,"Experte für Softwarearchitektur, Java Enterprise und DevOps"
Jonas Hofmann,jonas hofmann,Softwareentwickler | Microservice-Architektur & Testing
Alexander Hofmann,alexander hofmann,Head of Technology Management
Marius Hofmeister,marius hofmeister,Professor für Webentwicklung und Blogger für innovative Webtechnologien
Jörg Hohwiller,jorg hohwiller,Experte für Java and Web-Technology
Torsten Hopf,torsten hopf,Transformation Technologies PSC Germany GmbH
Bernhard Hopfenmüller,bernhard hopfenmuller,sidion GmbH
Alexander Horch,alexander horch,Mathema
Lutz Hühnken,lutz huhnken,"Fractional CTO, Interim Manager, Architekt"
Lars Hupel,lars hupel,innoQ Deutschland GmbH
Roland Huß,roland hu,"Experte für Java, Kubernetes & Open-Source-Entwicklung"
Michael Inden,michael inden,Professor of Web Development and Blogger on Innovative Web Technologies.
Mirza Iqbal,mirza iqbal,Expert in AI Workflow Automation & Enterprise n8n Architecture
Thorben Janssen,thorben janssen,Independent
Michael Jerger,michael jerger,Maintainer von Open-Source-DevOps-Systemen
Emily Jiang,emily jiang,IBM
Michael Johann,michael johann,Principial Platform Engineer für die Magenta Developer eXperience
Alexander John-Anacker,alexander john anacker,sidion GmbH
Rod Johnson,rod johnson,Embabel
Andreas Jürgensen,andreas jurgensen,"Technical Coach - Coding, Testing & Architektur"
Clemens Jütte,clemens jutte,VMware
Christian Kaiser,christian kaiser,"Experte & Coach für Refactoring, Legacy Code & Softwaretests"
Martin Kalsow,martin kalsow,Tech Lead & Softwarearchitekt mit starkem Fokus auf People Leadership
Christoph Kappel,christoph kappel,
Niklas Kappler,niklas kappler,
Stephan Kaps,stephan kaps,Bundesamt für Soziale Sicherung
Yogesh Karve,yogesh karve,Cognizant
Michael Kaufmann,michael kaufmann,"Leidenschaft für DevOps, GitHub, die Cloud und alles rund um moderne Arbeitsformen, Gründer und Geschäftsführer bei der Xpirit"
Christian Kehl,christian kehl,"Lead Platform Marketing, Platform Sales & Account Management, Product"
Christopher Keibel,christopher keibel,Karakun
Johannes Kellner,johannes kellner,Atruvia AG
Christian Kemper,christian kemper,Experte für nachhaltige Softwarearchitektur | Mainframe-Integration & API Management
Simon Kerler,simon kerler,Experte für Softwarearchitektur und Cloud-Performance.
Patrick Kiessling,patrick kiessling,Sonatype
Thomas Kloppe,thomas kloppe,sidion GmbH
Niko Köbler,niko kobler,"Mr. Keycloak - Experte für Keycloak, Identity Management und Single-Sign-On"
Matthias Koch,matthias koch,"Experte für Java, Clean Code & funktionale Programmierung"
Christian Kolbe,christian kolbe,Comsysto Reply
Marius Köllner,marius kollner,Atruvia AG
Audrey Kolski,audrey kolski,The API Collective
Rico Komenda,rico komenda,"Experte für Anwendungssicherheit, Cloud- und KI-Security; Speaker und Berater für moderne IT-Sicherheitslösungen."
Patrick Kopp,patrick kopp,Release Train Engineer im Projekt Vertriebsplattform
David Kopp,david kopp,Softwareentwickler und Green IT Consultant
Danny Koppenhagen,danny koppenhagen,Frontend Architect & Web Accessibility Specialist
Maria Korneeva,maria korneeva,Frontend Technology Lead und Google Developer Expert
Jonas Kortum,jonas kortum,Experte für Multikanalarchitektur und Schnittstellenarbeit.
Christian Kosmowski,christian kosmowski,"Experte für Java, Kotlin & praxisnahe Softwarequalitätsschulungen"
Michael Kotten,michael kotten,"Experte für Java Enterprise, Microservices und Continuous Delivery"
Peter Krajcik,peter krajcik,Experte für Big Data und generative KI-Anwendungen
Martina Kraus,martina kraus,Websicherheits- und Google Developer Expertin für Application Security.
Julian Krischker,julian krischker,Cognizant
Alexander Kroll,alexander kroll,NTT DATA Deutschland AG
Peter Kröner,peter kroner,"Experte für Java und
TypeScript, Frontend-Tech, Web Components, Web Standards"
Thomas Kruse,thomas kruse,Experte für Java-Webanwendungen und Performanceoptimierung
Sebastian Kühnau,sebastian kuhnau,Vaadin
Michael Kulla,michael kulla,GEDOPLAN GmbH
Anja Kunkel,anja kunkel,Principal Engineer
Peter Kutschera,peter kutschera,Practice Lead für Sustainable Software Architecture
Ram Lakshmanan,ram lakshmanan,DevOps Tools Founder & Architect of a Travel Applications
Stephane Landelle,stephane landelle,Gatling
David Leitner,david leitner,SQUER Solutions
Karsten Lentzsch,karsten lentzsch,"Experte für Java-Design, Usability & User Experience"
Carola Lilienthal,carola lilienthal,Software-Architektin | DDD Expertin | Speakerin & Autorin
Martin Lippert,martin lippert,Experte für Spring-Entwicklungstools & Live-Demo Präsentationen
Malin Litwinski,malin litwinski,The Segovia / Crown Agents Bank
Andreas Loew,andreas loew,syntegris information solutions GmbH
Katharina Löhrke,katharina lohrke,"Expertin für Java und JavaScript, spezialisiert auf Zahlungsverkehrsanwendungen"
Michael Loibl,michael loibl,NTT DATA
Thorsten Lorenz,thorsten lorenz,Softwareexperte & Trainer mit 30 Jahren Erfahrung in Java & Co.
Daniel Lübke,daniel lubke,Experte für Software- und Geschäftsprozessarchitekturen
Frank Lyaruu,frank lyaruu,Quin
Larry Maccherone,larry maccherone,Expert in DevSecOps and Agile transformations
Sahak Maloyan,sahak maloyan,Experte für Cloud-Technologien & zukunftsorientierte Softwarearchitektur
Artur Margonari,artur margonari,Agile Coach & Trainer with 10+ Years of Experience
Simon Martinelli,simon martinelli,Martinelli LLC
Thomas Mauch,thomas mauch,magicwerk
Manuel Mauky,manuel mauky,Saxonia Systems AG
Yara Mayer,yara mayer,Geschäftswissen trifft Softwarearchitektur – für flexible und resiliente Systeme.
Darrell McDonald,darrell mcdonald,HCL
Moritz Meid,moritz meid,"Sales Engineer specialsiert in Kubernetes Platforms, DevSecOps, und Container Security"
Stefan Menschner,stefan menschner,Experte für Kreditsoftware und Softwarearchitektur.
Sebastian Meyen,sebastian meyen,Program Chair Software & Support Media GmbH
Christoph Meyer,christoph meyer,Java Software Architekt CPSA-Advanced Level
Ondro Mihályi,ondro mihalyi,"Expert in Jakarta EE, microservices, scalability and observability."
Uladzimir Mihura,uladzimir mihura,EPAM.COM
Russell Miles,russell miles,Expert in Chaos & Resilience Engineering | Author | Speaker | Software Architect
Julius Mischok,julius mischok,Experte für Softwarequalität
Enzio Mittag,enzio mittag,27 Jahre Projekterfahrung – mit Leidenschaft für Vertriebssysteme und agiles Arbeiten.“
Bilal Mohammed,bilal mohammed,Lead UI Engineer | UI/UX & Anforderungsanalyse | Agile Estimation & NLP
Cathrin Möller,cathrin moller,TNG Technology Consulting
Adrian Möller,adrian moller,"Fullstack-Entwicklung mit Fokus auf Java – vielseitig, innovativ, praxisnah."
Sascha Möllering,sascha mollering,Amazon Web Services
Andreas Monschau,andreas monschau,Haeger Consulting
Diana Montalion,diana montalion,"Author & Systems Architecture, Thinking and Design Engineer"
Thomas Much,thomas much,Technical Agile Coach
Thomas Müller,thomas muller,
Sven Müller,sven muller,Sofware Architekt | DDD-Enthusiast
Robin Müller,robin muller,Aclue GmbH
Ralf D. Müller,ralf d muller,"Ralf D. Müller, ein renommierter Softwarearchitekt und anerkannter Experte im Bereich GenAI und arc42"
Frank Müller,frank muller,
Björn Müller,bjorn muller,Gründer & Experte für Oberflächentechnologien und -architekturen
Bernd Müller,bernd muller,"Java-Champion, Informatikprofessor & Softwareentwicklungsexperte"
Nils Müller-Sheffer,nils muller sheffer,Accenture
Janik Münk,janik munk,adesso SE
Daniel Murrmann,daniel murrmann,"Experte für Software Engineering & Architektur mit Fokus auf Angular, .NET & Azure."
Matthias Naab,matthias naab,Experte für Big Picture Engineering und digitale Plattformen
Serge Ndong,serge ndong,"Experte für Java, JavaScript & praxisnahe Softwareberatung"
Stefan Negele,stefan negele,Architekt verteilter Systeme mit Fokus auf Data Governance
Jennifer Nerlich,jennifer nerlich,Innovationsleader & Co-Founder driving cutting-edge software research at vogella
Johannes Neubauer,johannes neubauer,Materna Information & Communications SE
Nikolai Neugebauer,nikolai neugebauer,Digital Frontiers GmbH & Co. KG
Uwe Neukam,uwe neukam,seit mehr als 20 Jahren als Software Architekt tätig
Noah Neukam,noah neukam,Grenzgänger zwischen Software Engineer und Software Architect
Jörg Neumann,jorg neumann,Berater für AI-Lösungen und Microsoft MVP
Diana Neuwirth,diana neuwirth,MEONDI GmbH
Christopher Neuwirth,christopher neuwirth,MEONDI GmbH
Hajo Normann,hajo normann,
Ikenna Nwaiwu,ikenna nwaiwu,Principal consultant at Ikenna Consulting
Martin O'Hanlon,martin o hanlon,Expert in graph technology and computer science education
Simona Oancea,simona oancea,"Software engineer specializing in distributed systems, microservices, and large-scale backend infrastructure."
Peter Oosterlynck,peter oosterlynck,Axway
Tasha Oriwoh,tasha oriwoh,Sonatype
Manuel Ottlik,manuel ottlik,Building cloud-native platforms at HDI Global SE.
Sandra Parsick,sandra parsick,"Java-Champion, Expertin für Enterprise-Anwendungen & Cloud"
Stefan Pauka,stefan pauka,Materna Information & Communications SE
Sven Peeters,sven peeters,Experte für Data Mesh und Public Cloud
Sara Pellegrini,sara pellegrini,"IT-Fachkraft, die sich auf verteilte Architekturen spezialisiert hat und Erfahrung mit agilen Softwareentwicklungsmethoden hat."
Olivier Petri,olivier petri,Senior Developer | Softwarehandwerker | Experte für Java & Abstraktion
Daniel Pfeiffer,daniel pfeiffer,Daniel optimiert Requirement Engineering im Public Sector.
Florian Pfleiderer,florian pfleiderer,Agile Software Entwickler - Architektur & Microservices
Frederik Pietzko,frederik pietzko,"Software-Handwerker, Berater, Kotlin-Liebhaber"
Wolfgang Pleus,wolfgang pleus,Experte für agile IT-Projekte und Initiator der Creative Software Workbench
Tobias Polley,tobias polley,"Softwarearchitekt mit Fokus auf Sicherheit, internationaler Konferenzsprecher"
Daniel Pötzinger,daniel potzinger,AOE GmbH
Stefan Priebsch,stefan priebsch,"Stefan Priebsch ist Softwarearchitekt, Trainer, Autor, Redner und Mitbegründer sowie CEO von The PHP Consulting Company"
Nithish Raghunandanan,nithish raghunandanan,Couchbase
Natalie Ramp,natalie ramp,jambit GmbH
Florian Rappl,florian rappl,"Solutions Architekt, spezialisiert auf skalierbare Micro-Frontend-Webanwendungen"
Nicole Rauch,nicole rauch,Softwareentwicklung & Entwicklungscoaching für funktionale Programmiersprachen
Sarah Rayfuse,sarah rayfuse,Frontend Developer | Design & Accessibility
Bernd Rederlechner,bernd rederlechner,Principal Lead Enterprise Architect mit Expertise in DevOps und Cloud Native
Lars Reichert,lars reichert,Bereichsleiter Vertriebsmanagement-Lösungen bei der Finanz Informatik
Stephen Reindl,stephen reindl,Cegeka Deutschland GmbH
Justin Reock,justin reock,Perforce Software
Stefan Reuter,stefan reuter,IT-Architekt und Projektleiter für Java-Plattformen
Maren Reuter,maren reuter,Maren Reuter – Expertin für Java-Backends und Clean Code Coaching
Sebastian Rhode,sebastian rhode,Carl Zeiss Microscopy GmbH
Mona Riabacke,mona riabacke,Riabacke & Co
Mirko Richter,mirko richter,Software-Security Berater
Thomas Riedel,thomas riedel,Droid Boy Produktion
Tobias Röhm,tobias rohm,Helping teams to develop high-quality software solutions
Peter Roßbach,peter ro bach,Experte für Cloud Native und Apache Tomcat Mentor
Dominik Rost,dominik rost,Experte für Softwarearchitektur und Legacy-Modernisierung
Stefan Rotsch,stefan rotsch,AOE GmbH
Lars Röwekamp,lars rowekamp,Gründer & CIO für neue Technologien & Software-Architekt und AI-/ML-Versteher
Bernd Rücker,bernd rucker,
Alexandra Rupp,alexandra rupp,"Expertin für Java-Backend, E-Commerce & Cloud-Migration"
Paul Salazar,paul salazar,"Experte für Vertriebsstrategie, Wachstum und Kundenbindung"
Jairo Santana,jairo santana,HCL Software
Nils Saphörster,nils saphorster,Driving scalable digital solutions from concept to go-live.
Milan Savic,milan savic,AxonIQ
Valentin Sawadski,valentin sawadski,OpenDataCam
Eugen Sawitzki,eugen sawitzki,Comsysto Reply
Tim Schade,tim schade,GFT TEchnologies SE
Steffen Schäfer,steffen schafer,pgt technology scouting GmbH
Frank Scheffler,frank scheffler,"Coach für Microservices, Softwarequalität & Agilität"
Frederieke Scheper,frederieke scheper,Sopra Steria
Thomas Schilling,thomas schilling,
Thomas Schissler,thomas schissler,"Gründer von agileMax, Experte für Agilität und DevOps"
Markus Schlegel,markus schlegel,Experte für funktionale Architektur & formale Methoden
Thorsten Schleinzer,thorsten schleinzer,nn
Jan-Christoph Schlieker,jan christoph schlieker,Experte für Softwarearchitekturen und Automatisierung in der Finanz Informatik
Alexander Schlüter,alexander schluter,Couchbase
Robert Schmelzer,robert schmelzer,Experte für Softwarearchitektur und agile Entwicklung in Enterprise-Systemen
Silke Schmid,silke schmid,"Expertin für Microservices, Automatisierung & CI/CD"
Volker Schmidt,volker schmidt,Cegeka Deutschland GmbH
Jan Schmidt,jan schmidt,Finanz Informatik
Andy Schmidt,andy schmidt,"Software-Architektur im Gesundheitswesen, Speaker & Dozent."
Daniel Schmitz Hübsch,daniel schmitz hubsch,"Experte für Entscheidungsmanagement, DMN & hochverfügbare Anwendungen"
Matthias Schneider,matthias schneider,HCL
Christian Schneider,christian schneider,Application & AI Security Architect
Michael Schöck,michael schock,Software Architekt & Experte für Bankensoftware und Omnikanalplattformen
Alexander Schramm,alexander schramm,Software Architekt & Berater für Softwarequalität und agiles Arbeiten
Silvia Schreier,silvia schreier,"Silvia Schreier ist Consultant bei innoQ mit Fokus auf skalierbare Webarchitekturen, funktionale Sprachen und NoSQL."
René Schröder,rene schroder,Selbstständiger Agile Coach
Sarah Schuh,sarah schuh,Spannungen früh erkennen. Zusammenarbeit wirksam gestalten.
Katja Schulke,katja schulke,Expertin für KI-gestützte und verantwortungsvolle Datenanalysen
Lothar Schulz,lothar schulz,"Developer Excellence, CI/CD, Containers & Infrastructure"
Sven Schuster,sven schuster,DATEV eG
Christian Schuster,christian schuster,MGM Technology Partners
Cristian Schuszter,cristian schuszter,CERN
Artur Schwarz,artur schwarz,Erfahrener Lead Android Developer und Product Owner |
Christian Seifert,christian seifert,"Brückenbauer zwischen Code, Köpfen und Komplexität"
Alex Semin,alex semin,Gradle
Paul Senkel,paul senkel,Application Security and Software Architecture Expert
Tim Sevenich,tim sevenich,Axway
Shohre Shaddelian,shohre shaddelian,Expert in scalable frontend solutions
Aminata Sidibe,aminata sidibe,Expertin für KI-gestützte Produktentwicklung & Mensch-Maschine-Interaktion
Marco Sieben,marco sieben,"Agiler Fullstack-Entwickler 
| Optimierung von Softwareentwicklungsprozessen."
Karsten Silz,karsten silz,Full-Stack-Java-Entwickler
Michael Simons,michael simons,Neo4j
Falk Sippach,falk sippach,"Softwarearchitekt, Berater und Trainer von embarc Software Consulting GmbH mit Fokus auf Java und agile Projekte"
Karsten Sitterberg,karsten sitterberg,"Freiberuflicher Entwickler, Trainer und Berater für Webtechnologien und Java | Experte für HTTP APIs, TypeScript und Angular"
Kilian Soerries,kilian soerries,Experte für Midtier- und Container-Technologien & DevOps Engineer
Ralf Somplatzki,ralf somplatzki,"„Quality is not an act, it is a habit.“"
Maximilian Sparenberg,maximilian sparenberg,"Experte für DevSecOps, Cloud-Technologien & IT-Automatisierung"
Sebastian Spautz,sebastian spautz,"Spezialist für Webplattformen, Accessibility & Developer Experience"
Sebastian Springer,sebastian springer,JavaScript Architect & International Speaker
Christoph Stäbler,christoph stabler,Red Hat
Björn Stahl,bjorn stahl,Practice Lead für KMUs und Softwarearchitekt |  Experte für Cloud-Architekturen und Leistungsoptimierungen in der Java-Welt
Jan Stamer,jan stamer,Software Engineer& Experte für cloud-native Architekturen und moderne Web-Technologien mit Java und Go
Gernot Starke,gernot starke,Berater und Trainer für methodische Softwareentwicklung und -architektur
Frank Steimle,frank steimle,"Consultant, Experte für Domain-driven Design & agile Softwareentwicklung"
